code,name
ADA,Adana Şakirpaşa Havaalanı
ADF,Adıyaman Havaalanı
AFY,Afyon Havaalanı
AJI,Ağrı Havaalanı
AYT,Antalya Havaalanı
MZH,Amasya Merzifon Havaalanı
BAL,Batman Havaalanı
BGG,Bingöl Havaalanı
BJV,Milas–Bodrum Havaalanı
BZI,Balıkesir Merkez Havaalanı
EDO,Balıkesir Koca Seyit Havaalanı
YEI,Bursa Yenişehir Havaalanı
CKZ,Çanakkale Havaalanı
DLM,Dalaman Havaalanı
DNZ,Denizli Çardak Havaalanı
DIY,Diyarbakır Havaalanı
EZS,Elazığ Havaalanı
ERC,Erzincan Havaalanı
ERZ,Erzurum Havaalanı
ESB,Ankara Esenboğa Havaalanı
AOE,Eskişehir Hasan Polatkan Havaalanı
GZP,Gazipaşa Havaalanı
GZT,Gaziantep Havaalanı
HTY,Hatay Havaalanı
IGD,Iğdır Havaalanı
IST,İstanbul Havaalanı
SAW,İstanbul Sabiha Gökçen Havaalanı
KCM,Kahramanmaraş Havaalanı
KSY,Kars Harakani Havaalanı
KCO,Kocaeli Cengiz Topel Havaalanı
KYA,Konya Havaalanı
MLX,Malatya Erhaç Havaalanı
MQM,Mardin Havaalanı
MSR,Muş Havaalanı
NAV,Nevşehir Kapadokya Havaalanı
NKT,Şırnak Şerafettin Elçi Havaalanı
SZF,Samsun Çarşamba Havaalanı
SXZ,Siirt Havaalanı
VAS,Sivas Nuri Demirağ Havaalanı
TEQ,Tekirdağ Çorlu Havaalanı
TJK,Tokat Havaalanı
TZX,Trabzon Havaalanı
VAN,Van Ferit Melen Havaalanı
ONQ,Zonguldak Çaycuma Havaalanı
ADB,İzmir Adnan Menderes Havaalanı
ASR,Kayseri Erkilet Havaalanı
GNY,Şanlıurfa GAP Havaalanı
OGU,Ordu-Giresun Havaalanı
ISE,Isparta Süleyman Demirel Havaalanı
KFS,Kastamonu Havaalanı
KZR,Kütahya Zafer Havaalanı
RZV,Rize-Artvin Havaalanı
SIC,Sinop Havaalanı
YKO,Hakkari Yüksekova Selahaddin Eyyubi Havaalanı
